CustomerID,CustomerName,Address,City,PostalCode
56,"Ottilies Käseladen","Mehrheimerstr. 369","Köln",50739
57,"Paris spécialités","265  boulevard Charonne",Paris,75012
58,"Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.",05033
59,"Piccolo und mehr","Geislweg 14",Salzburg,5020
60,"Princesa Isabel Vinhoss","Estrada da saúde n. 58",Lisboa,1756
61,"Que Delícia","Rua da Panificadora  12","Rio de Janeiro",02389-673
62,"Queen Cozinha","Alameda dos Canàrios  891","São Paulo",05487-020
63,QUICK-Stop,"Taucherstraße 10",Cunewalde,01307
64,"Rancho grande","Av. del Libertador 900","Buenos Aires",1010
65,"Rattlesnake Canyon Grocery","2817 Milton Dr.",Albuquerque,87110
66,"Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia",42100
67,"Ricardo Adocicados","Av. Copacabana  267","Rio de Janeiro",02389-890
68,"Richter Supermarkt","Grenzacherweg 237","Genève",1203
69,"Romero y tomillo","Gran Vía  1",Madrid,28001
70,"Santé Gourmet","Erling Skakkes gate 78",Stavern,4110
71,"Save-a-lot Markets","187 Suffolk Ln.",Boise,83720
72,"Seven Seas Imports","90 Wadhurst Rd.",London,"OX15 4NB"
73,"Simons bistro","Vinbæltet 34","København",1734
74,"Spécialités du monde","25  rue Lauriston",Paris,75016
75,"Split Rail Beer & Ale","P.O. Box 555",Lander,82520
76,"Suprêmes délices","Boulevard Tirou  255",Charleroi,B-6000
77,"The Big Cheese","89 Jefferson Way Suite 2",Portland,97201
78,"The Cracker Box","55 Grizzly Peak Rd.",Butte,59801
79,"Toms Spezialitäten","Luisenstr. 48","Münster",44087
80,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",05033
81,"Tradição Hipermercados","Av. Inês de Castro  414","São Paulo",05634-030
82,"Trail's Head Gourmet Provisioners","722 DaVinci Blvd.",Kirkland,98034
83,Vaffeljernet,"Smagsløget 45","Århus",8200
84,"Victuailles en stock","2  rue du Commerce",Lyon,69004
85,"Vins et alcools Chevalier","59 rue de l'Abbaye",Reims,51100
86,"Die Wandernde Kuh","Adenauerallee 900",Stuttgart,70563
87,"Wartian Herkku","Torikatu 38",Oulu,90110
88,"Wellington Importadora","Rua do Mercado  12",Resende,08737-363
89,"White Clover Markets","305 - 14th Ave. S. Suite 3B",Seattle,98128
90,"Wilman Kala","Keskuskatu 45",Helsinki,21240
91,Wolski,"ul. Filtrowa 68",Walla,01-012
